session_id,level,kind,start_after_peak_s,end_after_peak_s,center_after_peak_s,samples,accel_magnitude_mps2_mean,gyro_magnitude_dps_mean,accel_msd_mean,gyro_msd_mean
27,6,fall_simulation,6,7,6.5,10,10.042,1.4468999999999999,3.205679e-06,9.0666675e-05
27,6,fall_simulation,7,8,7.5,10,10.050999999999998,1.4462,9.617027e-06,7.983329899999999e-05
27,6,fall_simulation,8,9,8.5,10,10.056999999999999,1.4455,8.9759015e-05,0.00019863335
27,6,fall_simulation,9,10,9.5,10,10.054999999999998,1.441,0.00011219876799999999,0.000203466525
28,6,fall_simulation,-5,-4,-4.5,10,9.9643,21.782,0.104469853,70.76699040000001
28,6,fall_simulation,-4,-3,-3.5,10,9.953,16.508100000000002,0.061616363900000005,47.8657988
28,6,fall_simulation,-3,-2,-2.5,10,9.947700000000001,20.8647,0.11596866000000002,63.2266879
28,6,fall_simulation,-2,-1,-1.5,10,9.8993,21.9714,0.095231117,65.80555441999999
28,6,fall_simulation,-1,0,-0.5,9,10.56188888888889,38.596222222222224,4.491007954444445,867.47301
28,6,fall_simulation,0,1,0.5,10,8.056199999999999,62.617,4.85151031,899.5433750000002
28,6,fall_simulation,1,2,1.5,10,8.169599999999999,61.39640000000001,0.329348288,104.58523439999999
28,6,fall_simulation,2,3,2.5,10,9.9011,5.1915,0.002141393982,0.8722987049999998
28,6,fall_simulation,3,4,3.5,10,10.0366,1.6489999999999998,2.2439732000000002e-05,0.00275900136
28,6,fall_simulation,4,5,4.5,10,10.042,1.4689999999999999,0.0,9.3766704e-05
28,6,fall_simulation,5,6,5.5,10,10.042,1.4650999999999998,0.0,5.559997600000002e-05
28,6,fall_simulation,6,7,6.5,10,10.042,1.4568999999999999,0.0,8.45667e-05
28,6,fall_simulation,7,8,7.5,10,10.042,1.4691,0.0,5.873337600000001e-05
28,6,fall_simulation,8,9,8.5,10,10.042,1.4753,0.0,4.9366692100000006e-05
28,6,fall_simulation,9,10,9.5,10,10.042,1.4668,0.0,7.1066622e-05
29,6,fall_simulation,-5,-4,-4.5,10,10.024199999999999,25.3745,0.065443941,63.830605000000006
29,6,fall_simulation,-4,-3,-3.5,10,9.9504,21.0373,0.0460175298,66.270771
29,6,fall_simulation,-3,-2,-2.5,10,9.9572,22.669,0.0521211589,34.5839298
29,6,fall_simulation,-2,-1,-1.5,10,10.0033,18.294999999999998,0.029832044199999998,47.193201900000005
29,6,fall_simulation,-1,0,-0.5,9,10.663888888888888,37.58144444444444,2.365281782222222,621.7104111111112
29,6,fall_simulation,0,1,0.5,10,7.822000000000001,56.023700000000005,4.939711276999999,731.2928100000001
