session_id,level,start_s,end_s,samples,gyro_msd_mean,accel_msd_mean,gyro_magnitude_mean
5,1,6,7,10,6.6399906e-05,0.0,1.4238000000000002
5,1,7,8,10,9.330002500000001e-05,3.205668e-06,1.4241
5,1,8,9,10,7.626676599999999e-05,0.0,1.4284
5,1,9,10,10,6.0733330000000006e-05,0.0,1.4395000000000002
5,1,10,11,10,5.8566635e-05,0.0,1.4459000000000002
5,1,11,12,10,5.7933235e-05,0.0,1.4304999999999999
5,1,12,13,10,4.8033434400000006e-05,0.0,1.4221
5,1,13,14,10,6.246692970000002e-05,0.0,1.4188000000000003
5,1,14,15,10,8.109987e-05,0.0,1.4354
5,1,15,16,10,0.00010366660400000002,0.0,1.4270999999999998
5,1,16,17,9,7.174082111111111e-05,0.0,1.4423333333333335
5,1,17,18,10,7.2599953e-05,3.205668e-06,1.4415
5,1,18,19,10,9.290009500000001e-05,0.0,1.4447
5,1,19,20,10,7.239988299999999e-05,0.0,1.4354
5,1,20,21,10,8.9233367e-05,0.0,1.4402
5,1,21,22,10,6.85334e-05,0.0,1.4460000000000002
5,1,22,23,10,7.8033124e-05,0.0,1.4269
5,1,23,24,10,5.7099851e-05,0.0,1.4356
5,1,24,25,10,8.876675700000001e-05,6.411336e-06,1.4453
5,1,25,26,10,6.566661499999999e-05,3.205668e-06,1.4462
5,1,26,27,10,7.8566737e-05,3.205668e-06,1.4423
5,1,27,28,10,7.259992799999999e-05,0.0,1.4512
5,1,28,29,10,7.1900007e-05,0.0,1.4455
6,2,0,1,10,1.0419242199999998,0.00442383679,4.7416
6,2,1,2,10,1.850663612,0.0049175135,11.5512
6,2,2,3,10,1.0820371100000001,0.001282270738,4.3863
6,2,3,4,10,1.485756138,0.0028915200800000004,7.0337000000000005
6,2,4,5,10,0.279405156,0.0014361442379999998,7.246300000000001
6,2,5,6,10,1.45846678,0.01156608648,6.5864
6,2,6,7,10,0.134742023,0.00079180312,5.2798
6,2,7,8,10,1.49892884,0.0028594662199999997,6.0974
6,2,8,9,10,0.9371619299999999,0.0028017637299999998,5.695
6,2,9,10,10,0.728410978,0.00284023246,8.195899999999998
6,2,10,11,10,1.7657357049999998,0.00493353826,6.7381
6,2,11,12,10,2.259208396,0.006603699503,8.773
6,2,12,13,10,1.04131975,0.0019522578700000002,8.4689
6,2,13,14,10,3.6490256899999993,0.008886140150000001,9.3177
6,2,14,15,10,2.62515676,0.007437168459999999,8.519400000000001
6,2,15,16,10,1.8901770399999998,0.00689862054,10.9708
6,2,16,17,10,1.97647117,0.00279214494,5.8406
6,2,17,18,10,1.14169064,0.005292573439999999,5.1054
6,2,18,19,10,0.8623137269000001,0.005097030010000001,8.2985
6,2,19,20,10,3.1477474400000003,0.007956492780000001,7.238400000000001
6,2,20,21,10,4.0557243199999995,0.006520359469999999,10.863499999999998
6,2,21,22,10,1.014318292,0.00594332721,10.115400000000001
6,2,22,23,10,2.5435019800000003,0.0016893934200000002,6.5661000000000005
6,2,23,24,10,3.2500895400000003,0.0060426977,9.0827
6,2,24,25,10,3.62267144,0.01037357589,10.989099999999999
6,2,25,26,10,1.767350597,0.00212536407,9.613800000000001
6,2,26,27,10,2.1809748099999995,0.0026831470870000004,6.975099999999999
6,2,27,28,10,1.8432915099999998,0.0044943601799999995,9.491399999999999
6,2,28,29,10,1.2542128000000001,0.0009520853899999999,7.154000000000001
7,2,0,1,10,5.947971440000001,0.02014448912,13.1154
7,2,1,2,10,4.01923191,0.0071903487799999995,8.9685
7,2,2,3,10,2.5739578979999997,0.011005095480000001,9.6287
7,2,3,4,10,1.2847591299999999,0.0026543032499999997,11.451799999999999
7,2,4,5,10,2.3823146680000002,0.0035422734899999996,7.625699999999999
7,2,5,6,10,0.732064352,0.005587499197,8.983
7,2,6,7,10,1.831465361,0.0016701615700000002,6.8967
7,2,7,8,10,1.550349784,0.0028370297870000004,7.772799999999999
7,2,8,9,10,0.5020805490000001,0.0008975891500000001,8.100800000000001
7,2,9,10,10,2.8929677000000003,0.00792444109,7.529300000000001
7,2,10,11,10,1.56897932,0.0023401470599999996,8.885900000000001
7,2,11,12,10,0.8322865499999998,0.0011604567400000001,7.650800000000001
7,2,12,13,10,1.26988755,0.00303257495,5.949000000000001
7,2,13,14,10,0.17800006699999998,0.00081744824,6.681699999999999
7,2,14,15,10,0.9380651999999999,0.001686190031,4.9323999999999995
7,2,15,16,10,0.263645087,0.000468030065,6.3798
7,2,16,17,10,1.0051214290000001,0.0022119252269999995,4.501100000000001
7,2,17,18,10,0.42140294999999994,0.002381825805,8.73
7,2,18,19,10,1.4528122199999998,0.0004808517710000001,4.3969000000000005
7,2,19,20,10,1.32271657,0.002157428738,7.869
7,2,20,21,10,0.2934543769,0.0011604574499999999,3.8761
7,2,21,22,10,0.8546073900000002,0.00309027719,6.2038
7,2,22,23,10,0.40662788999999994,0.0006219033670000001,5.3414
7,2,23,24,10,1.45490938,0.0038339994099999995,5.7832
7,2,24,25,10,0.0800902698,0.000644341598,6.647500000000001
7,2,25,26,10,0.9199791420000002,0.001240601137,6.111299999999999
7,2,26,27,10,0.518733649,0.001394470775,7.378699999999999
7,2,27,28,10,1.44646817,0.0011764858640000001,6.5221
7,2,28,29,10,0.21172720699999997,0.0007020441299999999,7.426
8,2,0,1,10,15.91177894,0.03861883007999999,10.0383
8,2,1,2,10,1.28101916,0.0020452199399999997,6.347799999999999
8,2,2,3,10,0.10407134,0.000891180085,5.581300000000001
8,2,3,4,10,0.630271994,0.0034076375199999995,4.7445
8,2,4,5,10,0.1392592572,0.00040712098400000004,5.2993
8,2,5,6,10,0.601485491,0.001006582978,4.5574
8,2,6,7,10,0.0920264868,0.00068601495,4.0302
8,2,7,8,10,1.186580545,0.00303898382,6.396199999999999
8,2,8,9,10,0.416067212,0.000961702481,7.9121
8,2,9,10,10,1.3099144016,0.003853223587,6.6414
8,2,10,11,10,0.237017677,0.0009488805139999999,5.4012
8,2,11,12,10,1.19284602,0.0015130831959999998,5.7031
8,2,12,13,10,0.211697956,0.0005930507269999999,8.026799999999998
8,2,13,14,10,1.8663365219999999,0.003183238058,6.3942000000000005
8,2,14,15,10,0.343993193,0.00259018762,7.923900000000001
8,2,15,16,10,1.8954248100000002,0.00237540788,5.9201
8,2,16,17,10,0.6992955719999999,0.0033499322229999995,9.176599999999999
8,2,17,18,10,0.5512736690000001,0.00051931918,3.5215000000000005
8,2,18,19,10,0.96658232,0.0026895628199999997,7.769000000000001
8,2,19,20,10,0.638855873,0.0008783551939999998,5.7612000000000005
8,2,20,21,10,1.4231899809999997,0.0042282890499999995,9.126100000000001
8,2,21,22,10,0.480965797,0.0009007958100000001,3.5256999999999996
8,2,22,23,10,0.54744847,0.00232411804,8.1011
8,2,23,24,10,0.6990268058000002,0.0007308946500000001,3.5564
8,2,24,25,10,0.56211225,0.0018785275300000005,7.978500000000001
8,2,25,26,10,0.48925421799999996,0.000471235365,2.1289
8,2,26,27,10,0.08058038199999999,0.0007308949480000001,4.2506
