session_id,level,activity,notes,samples,accel_magnitude_mps2_mean,accel_magnitude_mps2_median,accel_magnitude_mps2_p95,accel_magnitude_mps2_max,accel_magnitude_mps2_sd,gyro_magnitude_dps_mean,gyro_magnitude_dps_median,gyro_magnitude_dps_p95,gyro_magnitude_dps_max,gyro_magnitude_dps_sd,accel_msd_mean,accel_msd_median,accel_msd_p95,accel_msd_max,accel_msd_sd,gyro_msd_mean,gyro_msd_median,gyro_msd_p95,gyro_msd_max,gyro_msd_sd,accel_magnitude_slope_mean,accel_magnitude_slope_median,accel_magnitude_slope_p95,accel_magnitude_slope_max,accel_magnitude_slope_sd,accel_magnitude_slope_abs_median,accel_magnitude_slope_abs_p95,gyro_magnitude_slope_mean,gyro_magnitude_slope_median,gyro_magnitude_slope_p95,gyro_magnitude_slope_max,gyro_magnitude_slope_sd,gyro_magnitude_slope_abs_median,gyro_magnitude_slope_abs_p95,accel_msd_slope_mean,accel_msd_slope_median,accel_msd_slope_p95,accel_msd_slope_max,accel_msd_slope_sd,accel_msd_slope_abs_median,accel_msd_slope_abs_p95,gyro_msd_slope_mean,gyro_msd_slope_median,gyro_msd_slope_p95,gyro_msd_slope_max,gyro_msd_slope_sd,gyro_msd_slope_abs_median,gyro_msd_slope_abs_p95,trimmed_gyro_msd_mean,trimmed_accel_magnitude_slope_abs_median
11,3,walking-normally,Trial 11 (level 3): grandma walking normally,299,9.961257525083612,9.966,10.1481,10.275,0.11810628355827797,11.871046822742475,11.888,21.12389999999999,28.591,5.631676296109546,0.00919022260361204,0.00480852,0.033800633999999954,0.08959877,0.01191903156770274,6.0855619214046826,4.623964,17.529864999999994,27.42775,5.122267643762126,0.002448129381270897,0.1611488,0.6315447199999996,0.8748741,0.5135149842106395,0.3650536,1.0128278,0.3208384311705684,6.427593,33.75726399999996,52.45438,24.15562001899771,18.80589,41.98342999999998,0.0003637231130434784,0.001139193,0.06110789699999994,0.164656,0.040679768369032095,0.01712195,0.08740806699999999,0.02445608036789322,0.3667384,29.64028999999999,55.65175,19.937879028905705,12.55235,40.50752499999996,5.824633044401544,0.3556662
12,3,walking-normally,Trial 12 (level 3): grandma walking normally,298,9.877221476510067,9.879000000000001,10.2183,10.432,0.19928686098581191,21.95901677852349,21.2915,38.62949999999998,51.413,9.8381618503498,0.037988159697315435,0.02732838,0.10709532499999991,0.2004831,0.03597649943238508,26.427014479865772,16.146335,80.32360499999999,231.4556,30.617025470624636,-0.003186749456375838,0.2816061,1.0779796499999998,1.444147,0.8777059253802117,0.6336056,1.74002105,-0.1956825805369124,8.65172,60.82162599999997,81.63412,40.516109561937085,27.750805,79.61992699999999,0.0005367567345637589,-0.009458309500000001,0.1908742949999998,0.4114573,0.11792933275399227,0.059107645,0.2639949049999999,-0.48074846409395855,0.6313168,156.316725,432.6216,111.57154846276309,50.36089,248.45984999999985,27.86117615658915,0.61651495
13,3,walking-normally,Trial 13 (level 3): grandma walking normally,298,9.829291946308725,9.817499999999999,10.3089,10.621,0.2649273903353581,23.87810067114094,23.834,41.20334999999999,52.873,9.859360676854674,0.045415872956375836,0.032746015,0.12510491499999998,0.2715211,0.04124618656429568,21.675325597315435,17.841975,53.593145499999984,141.6034,17.718030314481112,0.004707013859060403,0.3794546,1.3840986999999998,2.687653,1.0940550276883343,0.75813785,2.1733337499999994,-0.3456567805369128,5.986079500000001,54.738227499999994,85.47514,39.54676985918711,29.556800000000003,71.26416599999996,-0.00131684544295302,0.009563221,0.22443416999999974,0.5825449,0.1458123535655446,0.075320525,0.30217197999999973,-0.8465762449664428,5.118261,93.31436649999999,266.8186,62.984971211751265,34.46163,131.2425549999996,22.726175949612404,0.76523275
14,3,walking-normally,Trial 14 (level 3): grandma walking normally,298,9.875939597315437,9.846,10.2232,10.327,0.1878327196728611,14.629785234899334,14.341000000000001,26.634199999999996,30.64,7.478158408462866,0.01808831419422819,0.01120385,0.05947335699999999,0.1181293,0.0193635808145096,10.806617704697986,9.784037,22.4143205,33.74475,5.8860027021532995,-0.0064953747516778544,0.201662,1.1498669999999993,1.643334,0.8552212327884269,0.65763515,1.6205318999999994,0.4059630778523486,5.5132805000000005,47.11463949999999,54.90884,33.59057391253591,30.281385,53.50219949999998,0.0014461815308724844,0.0076362115,0.11693288499999996,0.2407468,0.07404525047777318,0.040478115,0.15666545499999976,0.05326375258389275,-0.52684005,34.024930999999995,73.72954,20.812233352094847,13.92586,41.844585499999994,10.704235906976747,0.6248815999999999
15,3,walking-normally,Trial 15 (level 3): grandma walking normally,299,9.897933110367893,9.858,10.1984,10.3,0.16378365555445537,14.080561872909698,14.338,24.9655,29.231,7.236282374305662,0.014952402212876257,0.008655315,0.047835106999999974,0.07773773,0.015478982352048533,9.440603170568563,8.620421,17.576458999999993,36.36151,4.477769340485307,-0.0038190642173913025,0.1217861,1.0795481999999998,1.474772,0.7357272647772866,0.5823574,1.2833626999999992,-0.04911626538461553,0.8056055,48.57811799999998,64.58192,32.817074124639326,31.12048,51.118289,-0.00022270128762541733,0.003686958,0.1001495609999999,0.1866559,0.06369149720805685,0.04246744,0.12655322,-1.0854319920735789,-0.1607761,28.086657,60.87901,18.545839646682786,8.786455,30.969855999999883,9.200937459459459,0.5814659
16,4,walking-quickly,Trial 16 (level 4): grandma walking quickly,298,9.968000000000002,9.973,10.4112,10.609,0.2817537479726655,20.894523489932883,21.466,35.484249999999996,44.33,9.366510502193613,0.06406732416040269,0.04513598,0.17524337999999978,0.523263,0.07054605034965632,55.72534803020134,46.81908,136.6981649999999,305.7007,42.52402447222695,0.001562263563422813,0.0161039534,2.0531079499999993,2.771016,1.3258251602470164,1.1486874999999999,2.3133129999999995,0.434001260738255,0.2602511,62.88687499999999,87.19074,43.247983029955265,39.69571,69.80017099999999,0.0007224909010067103,-0.01060086,0.2974996399999997,1.128219,0.23086110668665913,0.091615855,0.4796282849999991,0.8909181375838907,15.753364999999999,237.53232999999992,576.4865,176.6990952895516,135.50275,329.94220499999983,53.600331484496124,1.1387925
17,4,walking-quickly,Trial 17 (level 4): grandma walking quickly,298,9.964087248322146,9.9565,10.5133,10.924,0.3600033824018191,23.409177852348993,24.7565,36.75919999999999,47.42,9.34891459686682,0.055788394044630873,0.039878645000000004,0.15651249,0.2709761,0.04957289049039514,56.15522406040269,45.868404999999996,129.61190999999997,233.7346,39.70578554834302,-0.007679402046979858,-0.05216928999999999,2.77050715,3.626784,1.8489714416371856,1.6092795,2.9573557999999998,0.1991748629194629,3.0463945,69.21631599999999,106.224,44.91558016867161,39.46308,73.42120049999998,0.0006704291761744948,0.0091726445,0.19900284999999981,0.3882362,0.1153171043822553,0.056861474999999995,0.25763025,0.8399626033557047,-1.9492255,269.877055,535.079,169.36736571027745,124.27155,310.2887949999999,58.24842408139534,1.627882
18,4,walking-quickly,Trial 18 (level 4): grandma walking quickly,297,9.96439393939394,9.967,10.409,10.656,0.2945742399784678,25.44780134680135,25.349,47.409799999999976,63.264,12.180404592816775,0.05019705289057239,0.03785899,0.13913293999999998,0.2421251,0.04447334260152265,75.03990390202019,48.37995,270.3450799999999,556.7411,87.17555777063188,-0.008000167979797985,-0.06995232,2.1259539999999997,2.65227,1.4439303575226017,1.279748,2.4155956,1.5039449271717171,-0.1514227,80.44918399999999,121.0528,50.6733900317619,43.0908,83.75938999999998,0.003621376813468012,0.00314223,0.21479943999999992,0.4497474,0.12481565262676142,0.07001709,0.2594951,1.7600257707070706,2.483853,562.5087599999999,1200.03,341.372277920347,172.9266,784.1840399999999,71.050450077821,1.280483
19,4,walking-quickly,Trial 19 (level 4): grandma walking quickly,298,9.929107382550335,9.938500000000001,10.268049999999999,10.365,0.2248289772380344,20.514013422818792,21.3235,34.610299999999995,48.629,9.160526973709615,0.038362185334496646,0.029588459999999997,0.09674742149999996,0.1640668,0.03027491266844734,55.0398129295302,45.617369999999994,128.3569799999999,238.5464,41.305194170094346,-0.007558053687919457,-0.037406695000000004,1.5380982999999993,1.93999,1.0683831193441826,0.9547308999999999,1.7575508499999997,-0.04753339395973181,-0.5047107,62.743582999999965,96.6793,41.86916126399214,37.765065,71.31378399999998,0.001079539130872483,-0.00092058735,0.1570937699999999,0.2818462,0.09169177814232526,0.05702622,0.18684500499999995,1.3415478201342268,10.35105,249.30858499999994,439.0203,172.1850709385293,133.1527,333.1419249999998,55.15055224031008,0.93493035
20,4,walking-quickly,Trial 20 (level 4): grandma walking quickly,298,9.88893288590604,9.910499999999999,10.34705,10.444,0.3085401035452254,23.5960033557047,25.025,36.8488,45.466,9.501707178468397,0.04677882731140939,0.036656900000000006,0.12481803999999998,0.3099891,0.040559669422243656,58.95495569781878,45.831019999999995,143.13675999999998,334.1525,45.95208664472586,-0.0015535987248322261,-0.03383726,2.316929,2.882075,1.5799111717043735,1.4432535,2.486178849999999,0.3814286721140936,-0.7895309500000001,69.204448,109.4143,45.853439061287325,38.806495,73.08063749999998,0.0007209207701342284,0.0079597235,0.14326795999999994,0.650086,0.1104922793350611,0.056861110000000006,0.21342695999999983,0.8278685201342291,8.948661999999999,291.022725,656.1693,198.81849196358044,156.2376,353.2140849999997,59.58268517829457,1.452552
