session_id,level,samples_in_timing_analysis,accel_magnitude_mps2_max,accel_magnitude_mps2_min,accel_magnitude_mps2_mean,accel_magnitude_mps2_peak_s,gyro_magnitude_dps_max,gyro_magnitude_dps_min,gyro_magnitude_dps_mean,gyro_magnitude_dps_peak_s,accel_msd_max,accel_msd_min,accel_msd_mean,accel_msd_peak_s,gyro_msd_max,gyro_msd_min,gyro_msd_mean,gyro_msd_peak_s,accel_magnitude_slope_max,accel_magnitude_slope_min,accel_magnitude_slope_mean,accel_magnitude_slope_peak_s,accel_magnitude_slope_absolute_max,gyro_magnitude_slope_max,gyro_magnitude_slope_min,gyro_magnitude_slope_mean,gyro_magnitude_slope_peak_s,gyro_magnitude_slope_absolute_max,accel_msd_slope_max,accel_msd_slope_min,accel_msd_slope_mean,accel_msd_slope_peak_s,accel_msd_slope_absolute_max,gyro_msd_slope_max,gyro_msd_slope_min,gyro_msd_slope_mean,gyro_msd_slope_peak_s,gyro_msd_slope_absolute_max,first10s_accel_magnitude_mps2_mean,first10s_accel_magnitude_mps2_max,first10s_gyro_magnitude_dps_mean,first10s_gyro_magnitude_dps_max,first10s_accel_msd_mean,first10s_accel_msd_max,first10s_gyro_msd_mean,first10s_gyro_msd_max,last5s_accel_magnitude_mps2_mean,last5s_accel_magnitude_mps2_max,last5s_gyro_magnitude_dps_mean,last5s_gyro_magnitude_dps_max,last5s_accel_msd_mean,last5s_accel_msd_max,last5s_gyro_msd_mean,last5s_gyro_msd_max
21,5,299,12.306,4.678,9.819732441471572,12.13,72.25,0.791,8.279568561872908,12.332,15.2683,0.0,0.22576753433662208,12.332,1970.943,5.666719e-06,44.062325990753045,12.836,13.83333,-16.00047,0.004776143576561846,13.339,16.00047,191.7139,-61.01661,-0.32010274119983284,12.03,191.7139,19.31438,-21.43037,8.612366150664823e-05,12.332,21.43037,3294.752,-3882.004,-0.16161801833658862,12.231,3882.004,9.8783,10.334,10.013790000000002,28.538,0.010329018629,0.1143145,5.125897966,32.90588,10.031999999999998,10.032,1.4400599999999997,1.461,0.0,0.0,7.583341220000001e-05,0.0002260004
22,5,299,13.509,6.141,9.878214046822743,14.188,186.343,1.41,14.073147157190636,14.39,14.66166,0.0,0.22220280970558526,14.996,3087.071,8.999987e-06,68.45028558686307,14.289,13.8963,-16.92833,0.0071975341030100035,15.198,16.92833,367.9531,-341.0914,-0.6598855700712379,14.39,367.9531,28.22274,-30.05651,-0.00024522432326789,14.996,30.05651,7721.391,-7242.603,-0.2260917247791519,14.289,7721.391,9.944979999999997,10.193,14.782639999999999,44.782,0.016444815172999998,0.1282593,9.9701436848,82.74239,10.052399999999999,10.053,1.44602,1.467,6.411336e-07,3.205668e-05,6.964005194e-05,0.0001840004
23,5,299,16.509,5.016,9.97643143812709,12.287,151.052,1.417,10.782916387959867,12.387,34.90876,0.0,0.37670228900521735,12.487,7356.093,2.033343e-05,75.66230906632155,12.588,15.1884,-17.55744,0.0059522269051505,12.89,17.55744,315.8036,-218.429,-0.3988094051615383,12.487,315.8036,80.85602,-70.84189,-0.001178084976404012,12.487,80.85602,13107.07,-14057.13,-0.38896571731358115,12.387,14057.13,9.973740000000001,10.27,15.312640000000002,36.16,0.019629974113000003,0.1959952,11.093708203,65.10488,10.039299999999999,10.052,1.45106,1.468,8.39886096e-05,0.002083685,0.0001341800342,0.0008043331
24,5,299,15.433,5.437,9.922628762541805,13.9,117.677,1.421,11.262451505016722,14.705,27.40968,0.0,0.3256328865415719,14.0,5061.845,5.333355e-06,64.113781679075,14.604,12.98207,-24.08908,-0.0013144373689966326,13.9,24.08908,150.3637,-196.0259,-0.24745216079230792,14.705,196.0259,63.60534,-62.93709,-0.000266802520694764,14.0,63.60534,6251.952,-10194.91,0.07547583150817232,13.9,10194.91,9.98922,10.254,15.496280000000002,38.622,0.024756497252999995,0.2558773,10.698738274,39.79756,10.042,10.042,1.4458000000000002,1.467,0.0,0.0,8.954669300000001e-05,0.00029
25,5,299,15.356,6.305,9.98479264214047,13.798,119.288,1.43,11.238785953177258,13.898,27.63581,0.0,0.3181108094590969,13.998,6818.385,8.000191e-06,80.91083201557696,14.499,15.19947,-14.26138,0.009229311872509373,14.399,15.19947,207.8928,-122.2736,-0.5764136568421405,13.898,207.8928,69.23879,-59.52168,-0.002081639424107857,13.998,69.23879,8006.166,-13441.92,-0.5320996906033008,13.898,13441.92,9.93699,10.233,15.47332,32.682,0.025913751374,0.4883851,10.3596780149,40.82974,10.0376,10.042,1.46356,1.513,8.9759006e-06,0.0001602839,0.00017327339182,0.002122002
26,6,299,15.981,5.228,9.954645484949832,13.917,126.959,1.296,12.331759197324415,14.018,27.11107,0.0,0.3828599775456522,14.118,5196.86,1.000034e-06,86.52377562309373,14.219,13.82633,-20.87969,0.0039972691420067435,13.917,20.87969,194.1594,-211.7353,-0.306625158356856,14.018,211.7353,67.14825,-51.68494,-0.0005101775598086705,14.118,67.14825,8823.842,-8556.365,-0.10309244883495904,14.018,8823.842,10.05304,10.699,17.93593,37.741,0.13464365635,0.8992571,48.226097607,234.519,10.042,10.042,1.4560199999999996,1.472,0.0,0.0,5.12067615e-05,0.0001870009
27,6,300,15.361,4.122,9.985363333333334,17.491,101.528,0.628,15.370333333333331,17.592,26.20495,0.0,0.33163036954793335,17.693,6315.515,3.566671e-05,66.5074100820673,17.794,13.92633,-14.75408,0.006542994818957339,17.491,14.75408,187.0941,-146.2803,-0.14872089594700033,17.592,187.0941,71.86419,-70.70126,0.0006930127824856747,17.693,71.86419,10754.14,-12460.7,0.15545174607888176,17.794,12460.7,9.955570000000002,10.565,19.90343,38.777,0.08179835367999998,0.6130542,47.60636973,151.8453,10.055,10.062,1.58006,3.125,0.0001250214932,0.002372203,0.0449337463572,1.962424
28,6,299,15.335,3.408,9.880130434782608,12.86,126.902,1.44,15.37756856187291,14.172,28.42312,0.0,0.3617927737390636,13.062,5179.527,3.333367e-06,91.39202702426724,13.163,17.12718,-23.62772,0.006685978670033464,13.466,23.62772,223.6283,-207.7348,-0.03525458673908379,13.062,223.6283,65.15281,-60.13277,0.0027761796845826464,13.062,65.15281,8396.695,-10041.6,0.4220886215233953,12.961,10041.6,9.933599999999998,11.058,23.163530000000005,48.958,0.1379669770698,0.6474831,81.3677913433,296.7247,10.045800000000002,10.052,1.4613799999999997,1.474,3.2056772e-06,6.411359e-05,7.097992166000001e-05,0.0001923328
29,6,300,14.819,1.995,9.92243,19.468,124.485,1.434,22.32195,19.67,21.26064,0.0,0.3617825860384667,19.67,3239.783,1.533332e-05,108.31637093092618,19.569,18.35291,-30.80642,0.007049300152266682,20.173,30.80642,212.8511,-139.2778,-0.2835897309366665,19.67,212.8511,51.17861,-51.71259,-0.0030579440286098336,19.67,51.71259,7734.921,-5520.372,-0.7927689443407121,19.569,7734.921,10.02507,11.346,28.496550000000003,56.286,0.27999908514,2.040126,124.95024056,432.9134,10.049039999999998,10.063,7.077459999999999,35.976,0.0014617897346,0.0495598,2.3008936028396003,26.39904
30,6,299,14.934,3.393,9.907665551839465,18.736,99.94,1.43,17.40915384615385,18.837,30.60452,0.0,0.30560703829625413,18.938,3786.123,5.666719e-06,73.46969878948096,19.039,18.89077,-22.98245,0.006242057435551827,19.342,22.98245,202.7845,-131.9489,-0.12637127464916395,20.048,202.7845,73.48567,-60.88423,0.001535465631283027,18.938,73.48567,7169.631,-7565.547,0.16086476372454422,18.837,7565.547,9.913859999999998,10.885,22.865960000000005,53.229,0.10489559527600001,0.5732073,60.939705113399995,330.2454,10.04424,10.052,1.4634599999999998,1.479,1.47460756e-05,0.0005129069,7.244667027999999e-05,0.0003386668
