session_id,level,start_s,end_s,samples,accel_magnitude_mps2_mean,accel_magnitude_mps2_max,gyro_magnitude_dps_mean,gyro_magnitude_dps_max,accel_msd_mean,accel_msd_max,gyro_msd_mean,gyro_msd_max
3,1,3,4,10,10.042,10.042,1.4347999999999999,1.452,0.0,0.0,7.9233441e-05,0.0001673341
3,1,4,5,10,10.047999999999998,10.052,1.4397,1.448,3.205668e-06,3.205668e-05,8.683305000000002e-05,0.0001876659
3,1,5,6,10,10.051999999999998,10.052,1.4275,1.442,0.0,0.0,4.376662329999999e-05,0.000139
3,1,6,7,10,10.051999999999998,10.052,1.4232,1.443,0.0,0.0,8.4166816e-05,0.000144667
3,1,7,8,10,10.051999999999998,10.052,1.4312,1.45,0.0,0.0,5.2533439e-05,0.0001406674
3,1,8,9,10,10.047,10.052,1.4252,1.449,6.411336e-06,3.205668e-05,7.356671800000001e-05,0.000118
3,1,9,10,10,10.032,10.032,1.4161000000000001,1.441,0.0,0.0,6.9399964e-05,0.0001699995
3,1,10,11,10,10.031099999999999,10.032,1.4268,1.441,3.205668e-06,3.205668e-05,4.166674430000001e-05,0.0001519995
3,1,11,12,10,10.009,10.013,1.4221,1.437,9.617004e-06,3.205668e-05,6.853346700000001e-05,0.0001236673
3,1,12,13,10,10.0255,10.032,1.4337,1.447,6.411336e-06,3.205668e-05,5.2099917000000006e-05,8.700017e-05
3,1,13,14,10,10.032,10.032,1.4301,1.452,0.0,0.0,9.873335100000001e-05,0.0001530005
3,1,14,15,10,10.032,10.032,1.4309999999999998,1.444,0.0,0.0,7.516678300000001e-05,0.000127
3,1,15,16,10,10.032,10.032,1.4385,1.452,0.0,0.0,6.786686499999999e-05,0.0001859999
3,1,16,17,9,10.037555555555555,10.042,1.4315555555555557,1.455,3.5618533333333335e-06,3.205668e-05,8.870375555555555e-05,0.0002160006
3,1,17,18,10,10.042,10.042,1.4108,1.428,0.0,0.0,5.6566707699999995e-05,0.0001796667
3,1,18,19,10,10.042,10.042,1.4104999999999999,1.429,0.0,0.0,4.8033317900000004e-05,0.0001616676
3,1,19,20,10,10.042,10.042,1.4399000000000002,1.46,0.0,0.0,7.926679799999999e-05,0.0001433344
3,1,20,21,10,10.042,10.042,1.4193,1.439,0.0,0.0,3.8500082e-05,9.10003e-05
3,1,21,22,10,10.042,10.042,1.4486000000000003,1.464,0.0,0.0,7.7133531e-05,0.0002406678
3,1,22,23,10,10.042,10.042,1.4399000000000002,1.453,0.0,0.0,6.756662499999999e-05,0.0001876666
3,1,23,24,10,10.042,10.042,1.4255,1.442,0.0,0.0,7.0933377e-05,0.0001300002
3,1,24,25,10,10.042,10.042,1.4378,1.456,0.0,0.0,5.1366725000000006e-05,0.0001070004
3,1,25,26,10,10.042,10.042,1.4275,1.442,0.0,0.0,6.00334e-05,0.0001066668
3,1,26,27,10,10.042,10.042,1.4349999999999998,1.452,0.0,0.0,5.999971299999999e-05,0.0001306661
3,1,27,28,10,10.042,10.042,1.4263,1.442,0.0,0.0,7.2166909e-05,0.0001380001
3,1,28,29,10,10.042,10.042,1.4199,1.429,0.0,0.0,7.5866792e-05,0.0001353332
4,1,0,1,10,10.050999999999998,10.052,1.4233999999999998,1.443,9.617025999999999e-06,3.205679e-05,8.8466738e-05,0.000145667
4,1,1,2,10,10.051999999999998,10.052,1.4136,1.439,0.0,0.0,6.2566779e-05,0.0001183339
